setup,scenario,suffix,run,timestamp,handshake_mean_ms,count_delta,file_prefix
mtls1.3-postquantum,baseline,-nokeepalive,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run1_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run1_20260906_143815
mtls1.3-postquantum,stress,,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_stress_run1_20260906_143815
mtls1.3-postquantum,payload,,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload_run1_20260906_143815
mtls1.3-postquantum,payload,-nokeepalive,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run1_20260906_143815
mtls1.3-postquantum,baseline,,1,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline_run1_20260906_143815
mtls1.3-postquantum,baseline,,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline_run2_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run2_20260906_143815
mtls1.3-postquantum,payload,-nokeepalive,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run2_20260906_143815
mtls1.3-postquantum,stress,,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_stress_run2_20260906_143815
mtls1.3-postquantum,baseline,-nokeepalive,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run2_20260906_143815
mtls1.3-postquantum,payload,,2,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload_run2_20260906_143815
mtls1.3-postquantum,stress,,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_stress_run3_20260906_143815
mtls1.3-postquantum,baseline,,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline_run3_20260906_143815
mtls1.3-postquantum,baseline,-nokeepalive,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run3_20260906_143815
mtls1.3-postquantum,payload,,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload_run3_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run3_20260906_143815
mtls1.3-postquantum,payload,-nokeepalive,3,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run3_20260906_143815
mtls1.3-postquantum,stress,,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_stress_run4_20260906_143815
mtls1.3-postquantum,baseline,,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline_run4_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run4_20260906_143815
mtls1.3-postquantum,payload,,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload_run4_20260906_143815
mtls1.3-postquantum,baseline,-nokeepalive,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run4_20260906_143815
mtls1.3-postquantum,payload,-nokeepalive,4,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run4_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run5_20260906_143815
mtls1.3-postquantum,stress,,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_stress_run5_20260906_143815
mtls1.3-postquantum,payload,-nokeepalive,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run5_20260906_143815
mtls1.3-postquantum,baseline,,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline_run5_20260906_143815
mtls1.3-postquantum,payload,,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_payload_run5_20260906_143815
mtls1.3-postquantum,baseline,-nokeepalive,5,20260906_143815,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run5_20260906_143815
mtls1.3-default,payload,-nokeepalive,1,20260906_143815,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run1_20260906_143815
mtls1.3-default,payload,,1,20260906_143815,n/a,0.000000,mtls1.3-default_payload_run1_20260906_143815
mtls1.3-postquantum,handshake,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_handshake-nokeepalive_run1_20260906_162512
mtls1.3-postquantum,payload,,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_payload_run1_20260906_162512
mtls1.3-postquantum,baseline,,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_baseline_run1_20260906_162512
mtls1.3-postquantum,payload,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_payload-nokeepalive_run1_20260906_162512
mtls1.3-postquantum,baseline,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_baseline-nokeepalive_run1_20260906_162512
mtls1.3-postquantum,stress,,1,20260906_162512,n/a,0.000000,mtls1.3-postquantum_stress_run1_20260906_162512
mtls1.2-chacha,baseline,,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_baseline_run1_20260906_162512
mtls1.2-chacha,payload,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_payload-nokeepalive_run1_20260906_162512
mtls1.2-chacha,baseline,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_baseline-nokeepalive_run1_20260906_162512
mtls1.2-chacha,payload,,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_payload_run1_20260906_162512
mtls1.2-chacha,stress,,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_stress_run1_20260906_162512
mtls1.2-chacha,handshake,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-chacha_handshake-nokeepalive_run1_20260906_162512
mtls1.2-gcm,handshake,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_handshake-nokeepalive_run1_20260906_162512
mtls1.2-gcm,payload,,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_payload_run1_20260906_162512
mtls1.2-gcm,baseline,,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_baseline_run1_20260906_162512
mtls1.2-gcm,payload,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_payload-nokeepalive_run1_20260906_162512
mtls1.2-gcm,baseline,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_baseline-nokeepalive_run1_20260906_162512
mtls1.2-gcm,stress,,1,20260906_162512,n/a,0.000000,mtls1.2-gcm_stress_run1_20260906_162512
mtls1.2-cbc,payload,,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_payload_run1_20260906_162512
mtls1.2-cbc,payload,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_payload-nokeepalive_run1_20260906_162512
mtls1.2-cbc,baseline,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_baseline-nokeepalive_run1_20260906_162512
mtls1.2-cbc,handshake,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_handshake-nokeepalive_run1_20260906_162512
mtls1.2-cbc,baseline,,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_baseline_run1_20260906_162512
mtls1.2-cbc,stress,,1,20260906_162512,n/a,0.000000,mtls1.2-cbc_stress_run1_20260906_162512
mtls1.3-default,stress,,1,20260906_162512,n/a,0.000000,mtls1.3-default_stress_run1_20260906_162512
mtls1.3-default,handshake,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run1_20260906_162512
mtls1.3-default,baseline,-nokeepalive,1,20260906_162512,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run1_20260906_162512
mtls1.3-default,baseline,,1,20260906_162512,n/a,0.000000,mtls1.3-default_baseline_run1_20260906_162512
mtls1.3-default,baseline,,1,20260910_235010,n/a,0.000000,mtls1.3-default_baseline_run1_20260910_235010
mtls1.3-default,payload,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run1_20260910_235010
mtls1.3-default,stress,,1,20260910_235010,n/a,0.000000,mtls1.3-default_stress_run1_20260910_235010
mtls1.3-default,handshake,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run1_20260910_235010
mtls1.3-default,baseline,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run1_20260910_235010
mtls1.3-default,payload,,1,20260910_235010,n/a,0.000000,mtls1.3-default_payload_run1_20260910_235010
mtls1.3-default,handshake,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run2_20260910_235010
mtls1.3-default,payload,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run2_20260910_235010
mtls1.3-default,baseline,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run2_20260910_235010
mtls1.3-default,stress,,2,20260910_235010,n/a,0.000000,mtls1.3-default_stress_run2_20260910_235010
mtls1.3-default,baseline,,2,20260910_235010,n/a,0.000000,mtls1.3-default_baseline_run2_20260910_235010
mtls1.3-default,payload,,2,20260910_235010,n/a,0.000000,mtls1.3-default_payload_run2_20260910_235010
mtls1.3-default,stress,,3,20260910_235010,n/a,0.000000,mtls1.3-default_stress_run3_20260910_235010
mtls1.3-default,handshake,-nokeepalive,3,20260910_235010,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run3_20260910_235010
mtls1.3-default,baseline,-nokeepalive,3,20260910_235010,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run3_20260910_235010
mtls1.3-default,payload,-nokeepalive,3,20260910_235010,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run3_20260910_235010
mtls1.3-default,baseline,,3,20260910_235010,n/a,0.000000,mtls1.3-default_baseline_run3_20260910_235010
mtls1.3-default,payload,,3,20260910_235010,n/a,0.000000,mtls1.3-default_payload_run3_20260910_235010
mtls1.3-default,baseline,,4,20260910_235010,n/a,0.000000,mtls1.3-default_baseline_run4_20260910_235010
mtls1.3-default,handshake,-nokeepalive,4,20260910_235010,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run4_20260910_235010
mtls1.3-default,payload,-nokeepalive,4,20260910_235010,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run4_20260910_235010
mtls1.3-default,stress,,4,20260910_235010,n/a,0.000000,mtls1.3-default_stress_run4_20260910_235010
mtls1.3-default,payload,,4,20260910_235010,n/a,0.000000,mtls1.3-default_payload_run4_20260910_235010
mtls1.3-default,baseline,-nokeepalive,4,20260910_235010,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run4_20260910_235010
mtls1.3-default,baseline,,5,20260910_235010,n/a,0.000000,mtls1.3-default_baseline_run5_20260910_235010
mtls1.3-default,baseline,-nokeepalive,5,20260910_235010,n/a,0.000000,mtls1.3-default_baseline-nokeepalive_run5_20260910_235010
mtls1.3-default,payload,-nokeepalive,5,20260910_235010,n/a,0.000000,mtls1.3-default_payload-nokeepalive_run5_20260910_235010
mtls1.3-default,handshake,-nokeepalive,5,20260910_235010,n/a,0.000000,mtls1.3-default_handshake-nokeepalive_run5_20260910_235010
mtls1.3-default,payload,,5,20260910_235010,n/a,0.000000,mtls1.3-default_payload_run5_20260910_235010
mtls1.3-default,stress,,5,20260910_235010,n/a,0.000000,mtls1.3-default_stress_run5_20260910_235010
mtls1.2-gcm,baseline,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_baseline-nokeepalive_run1_20260910_235010
mtls1.2-gcm,payload,,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_payload_run1_20260910_235010
mtls1.2-gcm,stress,,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_stress_run1_20260910_235010
mtls1.2-gcm,baseline,,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_baseline_run1_20260910_235010
mtls1.2-gcm,handshake,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_handshake-nokeepalive_run1_20260910_235010
mtls1.2-gcm,payload,-nokeepalive,1,20260910_235010,n/a,0.000000,mtls1.2-gcm_payload-nokeepalive_run1_20260910_235010
mtls1.2-gcm,baseline,,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_baseline_run2_20260910_235010
mtls1.2-gcm,stress,,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_stress_run2_20260910_235010
mtls1.2-gcm,handshake,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_handshake-nokeepalive_run2_20260910_235010
mtls1.2-gcm,baseline,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_baseline-nokeepalive_run2_20260910_235010
mtls1.2-gcm,payload,-nokeepalive,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_payload-nokeepalive_run2_20260910_235010
mtls1.2-gcm,payload,,2,20260910_235010,n/a,0.000000,mtls1.2-gcm_payload_run2_20260910_235010
mtls1.2-gcm,handshake,-nokeepalive,3,20260910_235010,n/a,0.000000,mtls1.2-gcm_handshake-nokeepalive_run3_20260910_235010
